code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SZ300341,麦克奥迪,15.24,13.47,16.05,15.73,12.27,0.25969991357134053,22.444,3.703,0.668,14.693237561219034
SH603986,兆易创新,19.44,10.64,16.96,22.25,26.27,0.1255205589709829,24.236,4.431,1.05,14.680169920779004
SH600872,中炬高新,17.52,20.96,19.42,18.07,15.21,0.2817474369194815,35.689,7.047,0.843,14.647958870548347
SZ000789,万年青,23.2043,26.0003,29.9854,32.1999,15.6089,0.3746233079902526,6.876,1.016,8.999,14.632048577079699
SH603868,飞科电器,22.09,23.69,27.38,34.46,38.42,0.2702571523394312,38.748,10.178,1.278,14.537678176112317
SH603393,新天然气,31.03,13.75,17.73,16.6,14.29,0.30815724936084077,12.339,2.081,2.242,14.441622086230652
SZ000603,盛达资源,17.56,13.53,22.13,25.56,10.65,0.40864540699009894,23.844,3.384,0.0,14.192249622546552
SH600233,圆通速递,11.72,11.16,13.74,18.89,16.56,0.3262154265697349,15.474,2.376,0.851,14.183812677782086
SZ300481,濮阳惠成,16.27,19.49,17.98,14.86,15.38,0.05695547001718477,20.378,3.661,1.465,14.0670879394445
SH600585,海螺水泥,19.23,23.62,27.03,29.66,19.12,0.16784907357328407,6.64,0.856,8.153,14.065598265060242
SH603816,顾家家居,23.18,13.76,21.98,22.96,22.26,0.47279864527747867,19.899,4.272,2.291,13.972263498266242
SH600668,尖峰集团,19.32,14.24,20.9,20.34,13.94,0.21543284330787396,6.446,0.863,3.897,13.922036688488985
SH600885,宏发股份,18.19,15.96,15.21,16.82,17.91,0.36070555970984775,29.107,5.126,0.906,13.872727979798675
SZ002677,浙江美大,37.04,34.35,33.05,29.28,25.73,0.17208484167552499,13.825,4.298,5.259,13.744425594936711
SH601088,中国神华,13.64,11.0,12.73,13.94,14.67,0.26593411301738384,8.141,1.433,9.033,13.690971164598942
SZ002737,葵花药业,20.49,18.28,17.86,18.25,15.03,0.30168914063026253,16.756,3.567,3.0,13.586896872761997
SH600867,通化东宝,22.08,17.72,16.58,17.63,19.79,0.045992236426815616,13.272,3.429,5.046,13.57961319710669
SH601100,恒立液压,32.83,34.73,24.32,19.94,10.39,0.25079181073386153,36.164,7.38,1.073,13.561294620064153
SH603606,东方电缆,16.3,32.18,34.24,23.48,10.37,0.40203606155472144,41.172,6.724,0.496,13.492383418634025
SZ300371,汇中股份,17.79,16.64,16.44,13.66,11.39,0.14255778736116045,14.307,2.315,2.071,13.457525473194938
SH603338,浙江鼎力,20.89,19.16,23.96,20.05,22.14,0.3756135858865834,29.378,4.528,0.568,13.408990002314656
SH600801,华新水泥,21.3,25.03,33.63,36.27,18.98,0.44095050738432534,8.501,1.254,6.127,13.194947740501119
SZ300015,爱尔眼科,20.58,21.48,22.51,18.55,21.74,0.4405207814934302,81.714,13.855,0.295,13.16325386531072
SH600452,涪陵电力,18.6,19.78,24.13,26.79,22.32,0.346261231040136,22.784,3.416,0.771,13.130241528089888
SZ002557,洽洽食品,20.19,20.12,17.35,13.61,10.74,0.4058466089377354,22.917,4.587,1.957,12.995949862416545
SZ002262,恩华药业,17.69,18.42,20.22,19.48,17.38,0.1392711382299284,29.086,4.616,0.799,12.980994092553116
SH603899,晨光股份,26.82,26.91,28.17,26.16,24.45,0.4290030038071746,35.275,7.101,1.182,12.919021968816441
SZ002831,裕同科技,11.42,16.35,17.38,17.71,20.15,0.49011920927985997,19.477,2.731,0.771,12.687065581095652
SZ002595,豪迈科技,16.93,18.72,18.76,18.06,18.44,0.1482238974124928,20.074,3.137,1.384,12.66957143608648
SZ002001,新和成,21.07,19.63,13.24,20.54,19.87,0.36944036408177133,14.298,2.468,3.181,12.59144740635054
SH603987,康德莱,15.01,12.19,12.19,11.49,10.05,0.31625381177241835,19.433,2.938,1.359,12.484870669171
SH603589,口子窖,22.48,18.1,26.36,27.42,24.0,0.2521536428995183,24.021,4.993,2.107,12.372727935098455
SZ002179,中航光电,18.2183,16.08,15.78,17.81,18.41,0.41096275308528385,35.005,5.351,0.673,12.35816465890587
SZ300487,蓝晓科技,16.43,14.86,22.75,16.29,12.19,0.3238283409349675,84.077,13.351,0.291,12.285350418580588
SH603989,艾华集团,17.09,15.57,15.59,15.17,16.32,0.4092143364374804,22.496,3.36,1.136,12.255028620199148
SZ300286,安科瑞,19.1,15.88,14.84,13.56,15.09,0.30801548531020134,50.071,7.837,0.497,12.253785480238061
SZ002222,福晶科技,16.73,14.09,14.57,18.33,18.97,0.08709124997789969,36.437,5.908,0.809,12.24371567461646
SZ300347,泰格医药,16.75,18.68,23.65,17.52,13.89,0.13209012642451678,35.569,5.0,0.455,12.237184627062891
SZ300395,菲利华,16.28,12.06,17.08,16.71,14.27,0.1822543987899243,56.143,8.031,0.306,12.153057754341592
